University Admission year,Gender,Age (Years),H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media? (Hours),Status of your English language proficiency,Average attendance on class (Percentage ),Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development? (Hours ),What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly Family Income 
2021,Female,22,2019,BCSE,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development skill(Frontend),1,NETWORKING,Single,No,Bachelor,No,No,3.64,32500
2021,Male,22,2019,BCSE,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,"Software, Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,No,3.53,20000
2021,Male,20,2020,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,,No,No,Yes,Programming,3,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,Yes,Family,No,No,3.89,30000
2021,Male,21,2020,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,1,"Software, Artificial Intelligence",In a relationship,No,Family,No,No,3.5,40000
2021,Female,21,2019,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Web development,Single,Yes,Bachelor,No,No,3.65,30000
2021,Male,21,2020,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,1,"Machine Learning / Deep Learning, UI/UX, Data Science",Single,Yes,Bachelor,Yes,No,3.81,35000
2021,Female,20,2020,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,3.82,50000
2021,Male,21,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,"Software, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,No,3.32,8000
2021,Female,20,2020,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,No,3.88,200000
2022,Male,20,2020,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,"Software, Machine Learning / Deep Learning",Single,No,Family,No,No,3.9,60000
2020,Male,21,2019,BCSE,2,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,No,Bachelor,No,No,3.8,23000
2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,"Programming, Cyber security",2,"Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,No,3.52,350000
2020,Male,21,2019,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,NETWORKING,Single,No,Bachelor,No,No,2.74,20000
2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,"NETWORKING, Data Science",Single,No,Family,No,No,3.5,92000
2019,Male,23,2018,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,No,3.1,30000
2021,Male,19,2020,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,"Programming, Photography ",1,"Software, NETWORKING, UI/UX",Single,Yes,Family,No,No,3.58,30000
2021,Male,21,2019,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",2,Software,Single,Yes,Family,No,No,3.82,40000
2019,Female,21,2019,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,90,Yes,No,Yes,"Web development skill(Frontend), Networking",1,Software,Single,Yes,Bachelor,No,No,2.69,20000
2021,Female,19,2020,BCSE,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,"Software, NETWORKING, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,No,3.77,35000
2019,Male,25,2018,BCSE,11,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend), Networking",4,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning",Single,No,Bachelor,Yes,No,2.53,30000
2018,Male,24,2017,BCSE,2,No,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,"Web development skill(Backend), Web development skill(Frontend)",5,Software,Married,Yes,Bachelor,No,No,2.66,60000
2017,Male,22,2017,BCSE,3,Yes,No,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend), Networking",4,"Software, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,No,2.6,25000
2018,Male,23,2017,BCSE,2,No,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,"Programming, Software  Development skill",2,"Software, Hardware, Machine Learning / Deep Learning",Single,Yes,Family,No,No,2.99,
2019,Male,23,2018,BCSE,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,"Web development skill(Backend), Web development skill(Frontend), Graphics design ",1,"Hardware, UI/UX",In a relationship,Yes,Family,Yes,No,2.92,15000
2018,Female,23,2016,BCSE,4,No,Yes,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,"Programming, Networking",2,Hardware,Single,No,Bachelor,Yes,Yes,2.96,20000
2019,Male,22,2019,BCSE,9,No,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend), Cyber security, Java Script",7,Web Development,Single,No,Bachelor,No,No,2.9,15000
2023,Male,23,2018,BCSE,8,Yes,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,3.08,20000
2018,Male,25,2016,BCSE,4,No,No,6,4,Online,Yes,Yes,2,Advance,2,Yes,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend), Networking",4,Software,Single,Yes,Family,No,No,2.68,60000
2021,Female,21,2019,BCSE,5,No,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,UI/UX,Married,No,Family,No,No,2.42,60000
2019,Male,23,2018,BCSE,11,No,Yes,5,5,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Networking,2,NETWORKING,Single,No,Bachelor,No,No,3.23,28000
2019,Female,22,2018,BCSE,9,No,Yes,3,1,Offline,Yes,Yes,5,Basic,80,Yes,No,No,Programming,3,Software,Married,No,Bachelor,Yes,No,2.22,4000
2019,Female,21,2018,BCSE,10,No,No,5,1,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Programming,2,"Software, Machine Learning / Deep Learning, Data Science",Single,No,Bachelor,Yes,No,3.24,80000
2019,Male,22,2018,BCSE,9,No,No,3,2,Offline,Yes,Yes,3,Basic,95,No,No,Yes,"Web development skill(Frontend), sports ",2,Data Science,Single,No,Bachelor,No,No,3.3,40000
