group,total_importance,feature_count,importance_percent,rank
Demographics,0.22389515899093454,14,22.389515899093453,1
Study & Digital Behavior,0.21114358113178597,4,21.114358113178596,2
Scholarship,0.16491382084579767,2,16.49138208457977,3
Academic Background,0.10296440389973224,2,10.296440389973224,4
Family Income,0.0995729055943114,1,9.95729055943114,5
Interests,0.06549876201881315,7,6.549876201881315,6
Skills,0.03693687646675819,8,3.693687646675819,7
Technology & Access,0.03660858982240683,6,3.6608589822406827,8
Health,0.03282906504867337,5,3.282906504867337,9
Learning Preference,0.025636836180786667,2,2.5636836180786666,10
