University Admission year,Gender,Age (Years),H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media? (Hours),Status of your English language proficiency,Average attendance on class (Percentage ),Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development? (Hours ),What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly Family Income 
2022,Female,21,2019.0,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,5,Intermediate,90.0,No,No,No,Software  Development skill,3,Software,Single,No,Family,No,No,0.0,25000.0
2022,Male,20,2021.0,BCSE,1,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,100.0,No,No,No,"Software  Development skill, Cyber security, Networking",2,"Software, NETWORKING, Data Science",Single,Yes,Family,No,No,0.0,
2022,Male,20,2020.0,BCSE,1,Yes,Yes,3,1,Offline,Yes,Yes,1,Advance,100.0,No,No,Yes,Programming,1,"Software, Data Science",Single,No,Family,No,No,0.0,30000.0
2022,Male,22,2019.0,BCSE,2,No,No,3,1,Offline,Yes,Yes,3,Intermediate,80.0,No,No,Yes,Programming,1,"Software, UI/UX",Single,Yes,Bachelor,No,No,0.0,40000.0
2022,Female,21,2020.0,BCSE,1,Yes,Yes,1,2,Offline,Yes,Yes,2,Basic,100.0,No,No,No,Programming,0,Software,Single,No,Family,No,No,0.0,35000.0
2022,Female,20,2021.0,BCSE,1,Yes,Yes,2,1,Offline,Yes,Yes,3,Basic,98.0,No,No,Yes,"Programming, Software  Development skill",0,"Software, Hardware, NETWORKING",Single,No,Family,No,No,0.0,40000.0
2022,Male,21,2020.0,BCSE,2,No,No,5,3,Offline,Yes,No,4,Basic,60.0,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,0.0,50000.0
2022,Male,20,2020.0,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Basic,90.0,No,No,No,Programming,30,Software,Single,No,Family,No,No,0.0,50000.0
2021,Female,19,2020.0,BCSE,2,No,Yes,5,8,Offline,Yes,Yes,3,Intermediate,100.0,No,No,No,Programming,3,Artificial Intelligence,Single,Yes,Family,No,No,0.0,
2021,Female,20,2020.0,BCSE,2,Yes,No,4,1,Offline,Yes,Yes,3,Intermediate,98.0,No,No,Yes,Programming,3,"Software, NETWORKING, Artificial Intelligence",Married,Yes,Family,No,No,0.0,
2022,Male,23,2019.0,BCSE,1,Yes,Yes,2,1,Offline,Yes,Yes,8,Basic,100.0,No,No,No,Networking,1,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,No,Family,No,No,0.0,40000.0
2022,Female,20,2020.0,BCSE,1,Yes,Yes,2,1,Offline,Yes,No,7,Intermediate,100.0,No,No,Yes,Networking,1,"Software, Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,Yes,Family,No,No,0.0,50000.0
2021,Female,19,2020.0,BCSE,2,No,Yes,3,2,Offline,Yes,No,2,Intermediate,98.0,No,No,No,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Family,Yes,Yes,0.0,25000.0
2022,Male,20,2020.0,BCSE,2,No,Yes,2,2,Offline,Yes,No,4,Intermediate,98.0,No,No,Yes,I have no skill but try to learn them.,2,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning, Data Science",Single,No,Family,No,No,0.0,35000.0
2022,Female,18,2020.0,BCSE,2,Yes,No,2,2,Online,Yes,Yes,1,Intermediate,100.0,No,No,Yes,"Programming, Software  Development skill",1,Software,Single,Yes,Family,No,No,0.0,14000.0
2022,Male,21,2020.0,BCSE,2,No,No,1,2,Online,Yes,Yes,4,Advance,80.0,No,No,Yes,"Cyber security, Networking, I have quite good knowledge about Kali-Linux. I am using Linux from 2018. For that, I've some knowledge about some Tools.But currently I'm not working with Kali. That's why I'm forgetting everything day by day",0,"Software, NETWORKING, Hacking With Kali-Linux ",Single,No,Bachelor,No,No,0.0,50000.0
2021,Male,21,2020.0,BCSE,2,No,No,3,3,Online,Yes,Yes,1,Intermediate,97.0,No,No,Yes,Programming,3,Machine Learning / Deep Learning,Single,No,Bachelor,Yes,No,0.0,33000.0
2021,Female,20,2020.0,BCSE,2,No,Yes,5,2,Offline,Yes,Yes,2,Basic,99.0,No,No,No,Programming,1,Machine Learning / Deep Learning,Single,No,Family,No,No,0.0,20000.0
2022,Male,20,2020.0,BCSE,2,Yes,Yes,4,1,Offline,Yes,Yes,2,Intermediate,100.0,No,No,No,Programming,2,"Software, NETWORKING, UI/UX",Single,Yes,Family,Yes,No,0.0,20000.0
